Address,Zip,Price,Area,Room,Lon,Lat,Area Code,Borough,Price (log),Area (log),Index
"Blasiusstraat 8 2, Amsterdam",1091 CR,685000.0,64,3,4.907736,52.356157,1091,Oost,13.437174117244362,4.1588830833596715,0
"Kromme Leimuidenstraat 13 H, Amsterdam",1059 EL,475000.0,60,3,4.850476,52.348586,1059,West,13.071070083016778,4.0943445622221,1
"Zaaiersweg 11 A, Amsterdam",1097 SM,850000.0,109,4,4.944774,52.343782,1097,Oost,13.652991628466498,4.6913478822291435,2
"Tenerifestraat 40, Amsterdam",1060 TH,580000.0,128,6,4.789928,52.343712,1060,Nieuw West,13.270783382522602,4.852030263919617,3
"Winterjanpad 21, Amsterdam",1036 KN,720000.0,138,5,4.902503,52.410538,1036,Noord,13.487006490992238,4.927253685157205,4
"De Wittenkade 134 I, Amsterdam",1051 AM,450000.0,53,2,4.875024,52.382228,1051,West,13.017002861746503,3.970291913552122,5
"Pruimenstraat 18 B, Amsterdam",1033 KM,450000.0,87,3,4.896536,52.410585,1033,Noord,13.017002861746503,4.465908118654584,6
"Da Costakade 32 II, Amsterdam",1053 WL,590000.0,80,2,4.871555,52.371041,1053,West,13.287877815881902,4.382026634673881,7
"Postjeskade 41 2, Amsterdam",1058 DG,399000.0,49,3,4.854671,52.363471,1058,West,12.896716695872,3.8918202981106265,8
"Van Ostadestraat 193 H, Amsterdam",1073 TM,300000.0,33,2,4.897142,52.353111,1073,Zuid,12.611537753638338,3.4965075614664802,9
"Sloterkade 152 1, Amsterdam",1058 HN,540000.0,69,3,4.851985,52.351244,1058,West,13.199324418540456,4.23410650459726,10
"KNSM-laan 609, Amsterdam",1019 LD,539000.0,88,3,4.942972,52.377442,1019,Centrum,13.197470849891134,4.477336814478207,11
"Blasiusstraat 17 II, Amsterdam",1091 CK,390000.0,45,3,4.908173,52.356446,1091,Oost,12.873902018105829,3.8066624897703196,12
"Amstel 124 B, Amsterdam",1017 AD,575000.0,70,2,4.897782,52.366928,1017,Centrum,13.262125319779487,4.248495242049359,13
"Blasiusstraat 50 II, Amsterdam",1091 CT,650000.0,86,3,4.909361,52.356532,1091,Oost,13.38472764187182,4.454347296253507,14
"Suikerpeerpad 39, Amsterdam",1036 KE,475000.0,105,5,4.900926,52.408311,1036,Noord,13.071070083016778,4.653960350157523,15
"Paramaribostraat 122 3, Amsterdam",1058 VP,700000.0,102,6,4.85452,52.36209,1058,West,13.458835614025542,4.624972813284271,16
"Burgemeester Hogguerstraat 273, Amsterdam",1064 CP,325000.0,78,3,4.829644,52.372068,1064,Nieuw West,12.691580461311874,4.356708826689592,17
"Anna Blamansingel 274 VII, Amsterdam",1102 SX,399000.0,100,3,4.949572,52.317294,1102,Zuidoost,12.896716695872,4.605170185988092,18
"Oostzaanstraat 271, Amsterdam",1013 WJ,375000.0,52,3,4.872555,52.392426,1013,Centrum,12.834681304952548,3.9512437185814275,19
"Keizersgracht 171 F, Amsterdam",1016 DP,1625000.0,199,6,4.88583,52.374742,1016,Centrum,14.301018373745976,5.293304824724492,20
"Cornelis Troostplein 2 2, Amsterdam",1072 JK,575000.0,71,3,4.891161,52.351082,1072,Zuid,13.262125319779487,4.2626798770413155,21
"Thorn Prikkerstraat 93, Amsterdam",1062 BS,600000.0,114,4,4.837666,52.362011,1062,Nieuw West,13.304684934198283,4.736198448394496,22
"Kramatweg 58 A, Amsterdam",1095 JX,525000.0,75,3,4.945438,52.361355,1095,Oost,13.17115354157376,4.31748811353631,23
"Bramzeilhof 56, Amsterdam",1034 LH,350000.0,110,5,4.921574,52.408269,1034,Noord,12.765688433465597,4.700480365792417,24
"Bruinvisstraat 36, Amsterdam",1035 HG,350000.0,89,3,4.88516,52.423543,1035,Noord,12.765688433465597,4.48863636973214,25
"Arent Janszoon Ernststraat 41, Amsterdam",1083 GP,575000.0,134,5,4.887858,52.332103,1083,Zuid,13.262125319779487,4.897839799950911,26
"Willem de Zwijgerlaan 115 II, Amsterdam",1056 JJ,375000.0,51,3,4.862875,52.373735,1056,West,12.834681304952548,3.9318256327243257,27
"Colenbranderhof 30, Amsterdam",1065 BG,1650000.0,235,7,4.820848,52.358631,1065,Nieuw West,14.316285845876763,5.459585514144159,28
"Dusartstraat 33 2, Amsterdam",1072 HN,325000.0,37,2,4.889539,52.351732,1072,Zuid,12.691580461311874,3.6109179126442243,29
"Churchill-laan 37 A, Amsterdam",1078 DE,800000.0,98,3,4.900342,52.346366,1078,Zuid,13.592367006650065,4.584967478670572,30
"Prinseneiland 545, Amsterdam",1013 EC,1950000.0,258,4,4.887444,52.385346,1013,Centrum,14.48333993053993,5.552959584921617,31
"Van Tuyll van Serooskerkenweg 86 H, Amsterdam",1076 JP,735000.0,83,3,4.86109,52.344643,1076,Zuid,13.507625778194974,4.418840607796598,32
"Vondelstraat 51 hs, Amsterdam",1054 GJ,3925000.0,319,7,4.875471,52.361571,1054,West,15.182876909198646,5.765191102784844,33
"Kinkerstraat 215 D, Amsterdam",1053 DS,475000.0,74,3,4.865792,52.365372,1053,West,13.071070083016778,4.30406509320417,34
"Oldengaarde 116, Amsterdam",1083 TL,275000.0,31,2,4.883566,52.330963,1083,Zuid,12.524526376648708,3.4339872044851463,35
"Rustenburgerstraat 154 2, Amsterdam",1073 GJ,375000.0,47,2,4.899509,52.352717,1073,Zuid,12.834681304952548,3.8501476017100584,36
"J.J. Cremerplein 24 II, Amsterdam",1054 TL,570000.0,63,3,4.85856,52.359929,1054,West,13.253391639810733,4.143134726391533,37
"Oostenburgergracht 41 A, Amsterdam",1018 NB,375000.0,43,2,4.921855,52.368922,1018,Centrum,12.834681304952548,3.7612001156935624,38
"C.J.K. van Aalststraat 94 PP, Amsterdam",1019 JX,895000.0,163,6,4.93704,52.373016,1019,Centrum,13.704578997256993,5.093750200806762,39
"John Franklinstraat 38 3, Amsterdam",1056 TD,365000.0,49,3,4.854277,52.371899,1056,West,12.80765263256463,3.8918202981106265,40
"Potgieterstraat 23 IV, Amsterdam",1053 XP,550000.0,62,3,4.874257,52.369627,1053,West,13.217673557208654,4.127134385045092,41
"Wamelstraat 76, Amsterdam",1106 DM,325000.0,91,4,4.987296,52.300656,1106,Zuidoost,12.691580461311874,4.51085950651685,42
"Nieuwe Prinsengracht 48 G, Amsterdam",1018 VS,429000.0,50,3,4.907585,52.363609,1018,Centrum,12.969212197910155,3.912023005428146,43
"Commelinstraat 9 H, Amsterdam",1093 TE,650000.0,120,4,4.924306,52.36344,1093,Oost,13.38472764187182,4.787491742782046,44
"Orteliusstraat 309 I, Amsterdam",1056 NZ,350000.0,55,3,4.847389,52.373198,1056,West,12.765688433465597,4.007333185232471,45
"Tweede Ceramstraat 10, Amsterdam",1095 BN,475000.0,79,3,4.942841,52.362693,1095,Oost,13.071070083016778,4.3694478524670215,46
"1e Kekerstraat 77 PP, Amsterdam",1104 VA,325000.0,99,3,4.981149,52.314,1104,Zuidoost,12.691580461311874,4.59511985013459,47
"Rietveld Schröderpad 15, Amsterdam",1064 WX,425000.0,82,3,4.83186,52.364372,1064,Nieuw West,12.959844447906553,4.406719247264253,48
"Beemsterstraat 98, Amsterdam",1024 BG,350000.0,77,4,4.948371,52.392858,1024,Noord,12.765688433465597,4.343805421853684,49
"Postjesweg 341, Amsterdam",1062 JS,350000.0,81,3,4.837764,52.363887,1062,Nieuw West,12.765688433465597,4.394449154672439,50
"Eastonstraat 86, Amsterdam",1068 JC,375000.0,93,4,4.815101,52.356914,1068,Nieuw West,12.834681304952548,4.532599493153256,51
"Adrichemstraat 15, Amsterdam",1013 DR,450000.0,73,3,4.877698,52.388468,1013,Centrum,13.017002861746503,4.290459441148391,52
"Vijzelstraat 91, Amsterdam",1017 HH,1185000.0,160,5,4.892374,52.363383,1017,Centrum,13.985253332551368,5.075173815233827,53
"IJdoornlaan 1449 F, Amsterdam",1034 BM,385000.0,74,3,4.91913,52.406915,1034,Noord,12.86099861326992,4.30406509320417,54
"Amstelveenseweg 184 III, Amsterdam",1075 XR,687500.0,86,4,4.855875,52.352448,1075,Zuid,13.440817108522863,4.454347296253507,55
"Zuideinde 387 D, Amsterdam",1035 PE,585000.0,52,4,4.891858,52.42145,1035,Noord,13.279367126213993,3.9512437185814275,56
"Amstel 13, Amsterdam",1011 PT,1295000.0,145,5,4.89952,52.367261,1011,Centrum,14.074021253115776,4.976733742420574,57
"Egidiusstraat 42 3, Amsterdam",1055 GW,375000.0,61,3,4.851777,52.379483,1055,West,12.834681304952548,4.110873864173311,58
"Zeeburgerdijk 578, Amsterdam",1095 AN,500000.0,86,4,4.944196,52.366168,1095,Oost,13.122363377404328,4.454347296253507,59
"Groetstraat 201, Amsterdam",1024 VE,300000.0,78,4,4.951093,52.393956,1024,Noord,12.611537753638338,4.356708826689592,60
"Jan Haringstraat 32 I, Amsterdam",1056 XJ,375000.0,52,4,4.86106,52.376873,1056,West,12.834681304952548,3.9512437185814275,61
"Crynssenstraat 74 2, Amsterdam",1058 XZ,400000.0,51,2,4.85633,52.36355,1058,West,12.89921982609012,3.9318256327243257,62
"Churchill-laan 254 3, Amsterdam",1078 EZ,850000.0,117,5,4.889851,52.347518,1078,Zuid,13.652991628466498,4.762173934797756,63
"Overtoom 502 I, Amsterdam",1054 KJ,550000.0,72,3,4.859628,52.359026,1054,West,13.217673557208654,4.276666119016055,64
"Wieringerwaardstraat 226, Amsterdam",1024 HM,275000.0,56,2,4.959199,52.395846,1024,Noord,12.524526376648708,4.02535169073515,65
"Wiltzanghlaan 31 I, Amsterdam",1055 KE,330000.0,54,3,4.848563,52.381715,1055,West,12.706847933442663,3.9889840465642745,66
"Faas Wilkesstraat 321 PP, Amsterdam",1095 MD,700000.0,102,3,4.969203,52.372762,1095,Oost,13.458835614025542,4.624972813284271,67
"Fahrenheitsingel 17, Amsterdam",1097 NR,500000.0,72,2,4.922788,52.342942,1097,Oost,13.122363377404328,4.276666119016055,68
"Bankastraat 39 D, Amsterdam",1094 EB,369000.0,47,3,4.933378,52.364949,1094,Oost,12.818551923022664,3.8501476017100584,69
